Paper,Rock,Lose
Scissors,Rock,Win
Rock,Scissors,Lose
Rock,Rock,None
Scissors,Scissors,None
Paper,Scissors,Win
Paper,Paper,None
Rock,Scissors,Lose
Scissors,Scissors,None
Scissors,Paper,Lose
Scissors,Rock,Win
Rock,Rock,None
Paper,Rock,Lose
Paper,Rock,Lose
Paper,Paper,None
Rock,Rock,None
Rock,Scissors,Lose
Scissors,Scissors,None
Rock,Scissors,Lose
Paper,Rock,Lose
Scissors,Scissors,None
Rock,Scissors,Lose
Paper,Rock,Lose
Scissors,Paper,Lose
Rock,Rock,None
Paper,Scissors,Win
Paper,Rock,Lose
Rock,Rock,None
Rock,Rock,None
Scissors,Scissors,None
Scissors,Paper,Lose
Rock,Paper,Win
Rock,Paper,Win
Paper,Scissors,Win
Rock,Rock,None
Scissors,Scissors,None
Scissors,Paper,Lose
Rock,Scissors,Lose
Rock,Paper,Win
Paper,Scissors,Win
Paper,Paper,None
Scissors,Rock,Win
Rock,Scissors,Lose
Paper,Paper,None
Scissors,Scissors,None
Rock,Paper,Win
Paper,Scissors,Win
Paper,Rock,Lose
Scissors,Paper,Lose
Rock,Paper,Win
Rock,Scissors,Lose
Paper,Scissors,Win
Scissors,Rock,Win
Paper,Scissors,Win
Rock,Scissors,Lose
Scissors,Rock,Win
Paper,Paper,None
Scissors,Paper,Lose
Paper,Paper,None
Rock,Rock,None
Paper,Rock,Lose
Rock,Scissors,Lose
Scissors,Rock,Win
Scissors,Paper,Lose
Paper,Paper,None
Paper,Paper,None
Scissors,Paper,Lose
Rock,Rock,None
Paper,Paper,None
Rock,Rock,None
Rock,Paper,Win
Scissors,Rock,Win
Paper,Paper,None
Rock,Scissors,Lose
Paper,Scissors,Win
Scissors,Scissors,None
Paper,Paper,None
Rock,Paper,Win
Scissors,Rock,Win
Paper,Scissors,Win
Rock,Rock,None
Paper,Rock,Lose
Paper,Rock,Lose
Scissors,Scissors,None
Rock,Paper,Win
Rock,Paper,Win
Paper,Scissors,Win
Paper,Rock,Lose
Scissors,Rock,Win
Rock,Paper,Win
Paper,Paper,None
Paper,Rock,Lose
Rock,Rock,None
Scissors,Paper,Lose
Scissors,Paper,Lose
Rock,Rock,None
Paper,Paper,None
Paper,Scissors,Win
Rock,Scissors,Lose
Rock,Rock,None
Scissors,Rock,Win
Scissors,Rock,Win
Rock,Paper,Win
Paper,Paper,None
Scissors,Scissors,None
Scissors,Rock,Win
Rock,Scissors,Lose
Paper,Scissors,Win
Rock,Rock,None
Scissors,Rock,Win
Paper,Scissors,Win
Paper,Rock,Lose
Rock,Scissors,Lose
Rock,Rock,None
Rock,Paper,Win
Scissors,Paper,Lose
Paper,Scissors,Win
Scissors,Scissors,None
Rock,Rock,None
Paper,Scissors,Win
Paper,Paper,None
Scissors,Paper,Lose
Scissors,Paper,Lose
Rock,Paper,Win
Rock,Rock,None
Rock,Rock,None
Paper,Rock,Lose
Paper,Scissors,Win
Scissors,Rock,Win
Scissors,Paper,Lose
Scissors,Paper,Lose
Scissors,Paper,Lose
Rock,Paper,Win
Rock,Scissors,Lose
Rock,Paper,Win
Rock,Scissors,Lose
Rock,Scissors,Lose
Rock,Rock,None
Rock,Paper,Win
Scissors,Paper,Lose
Paper,Rock,Lose
Scissors,Rock,Win
Paper,Paper,None
Rock,Paper,Win
Paper,Scissors,Win
Scissors,Paper,Lose
Rock,Scissors,Lose
Paper,Scissors,Win
Paper,Scissors,Win
Scissors,Rock,Win
Rock,Rock,None
Rock,Paper,Win
Paper,Scissors,Win
Scissors,Rock,Win
Scissors,Scissors,None
Rock,Scissors,Lose
Paper,Scissors,Win
Scissors,Paper,Lose
Paper,Rock,Lose
Scissors,Scissors,None
Rock,Rock,None
Rock,Paper,Win
Paper,Paper,None
Scissors,Rock,Win
Rock,Rock,None
Paper,Scissors,Win
Paper,Scissors,Win
Rock,Rock,None
Scissors,Paper,Lose
Scissors,Rock,Win
Scissors,Rock,Win
Rock,Paper,Win
Rock,Scissors,Lose
Paper,Paper,None
Paper,Scissors,Win
Scissors,Rock,Win
Rock,Paper,Win
Rock,Paper,Win
Paper,Scissors,Win
Paper,Rock,Lose
Scissors,Rock,Win
Rock,Paper,Win
Paper,Paper,None
Scissors,Rock,Win
Paper,Paper,None
Rock,Rock,None
Rock,Rock,None
Scissors,Paper,Lose
Paper,Rock,Lose
Paper,Paper,None
Scissors,Paper,Lose
Scissors,Rock,Win
Rock,Paper,Win
Paper,Paper,None
Rock,Rock,None
Scissors,Rock,Win
Paper,Scissors,Win
Scissors,Scissors,None
Rock,Scissors,Lose
Paper,Scissors,Win
Paper,Scissors,Win
Scissors,Rock,Win
Rock,Paper,Win
Scissors,Paper,Lose
Paper,Rock,Lose
Rock,Scissors,Lose
Rock,Scissors,Lose
Rock,Paper,Win
Scissors,Scissors,None
Scissors,Scissors,None
Paper,Scissors,Win
Paper,Paper,None
Rock,Rock,None
Paper,Scissors,Win
Scissors,Paper,Lose
Scissors,Scissors,None
Rock,Paper,Win
Paper,Scissors,Win
Scissors,Paper,Lose
Rock,Rock,None
Paper,Scissors,Win
Scissors,Scissors,None
Scissors,Paper,Lose
Rock,Paper,Win
Rock,Scissors,Lose
Paper,Paper,None
Paper,Scissors,Win
Rock,Rock,None
Paper,Rock,Lose
Scissors,Rock,Win
Rock,Rock,None
Paper,Scissors,Win
Scissors,Scissors,None
Rock,Paper,Win
Paper,Scissors,Win
Scissors,Scissors,None
Rock,Paper,Win
Rock,Scissors,Lose
Paper,Rock,Lose
Scissors,Rock,Win
Scissors,Rock,Win
Rock,Paper,Win
Paper,Scissors,Win
Paper,Rock,Lose
Rock,Paper,Win
Scissors,Rock,Win
Scissors,Rock,Win
Rock,Rock,None
Paper,Scissors,Win
Scissors,Rock,Win
Rock,Rock,None
Paper,Scissors,Win
Paper,Rock,Lose
Rock,Rock,None
Scissors,Rock,Win
Rock,Rock,None
Scissors,Rock,Win
Paper,Scissors,Win
Rock,Paper,Win
Scissors,Paper,Lose
Paper,Rock,Lose
Rock,Rock,None
Scissors,Scissors,None
Paper,Scissors,Win
Rock,Paper,Win
Scissors,Rock,Win
Paper,Scissors,Win
Rock,Paper,Win
Paper,Rock,Lose
Scissors,Rock,Win
Scissors,Paper,Lose
Rock,Paper,Win
Paper,Scissors,Win
Paper,Rock,Lose
Paper,Paper,None
Rock,Paper,Win
Scissors,Paper,Lose
Rock,Paper,Win
Paper,Rock,Lose
Rock,Rock,None
Scissors,Paper,Lose
Paper,Scissors,Win
Scissors,Rock,Win
Rock,Paper,Win
Scissors,Scissors,None
Paper,Scissors,Win
Rock,Paper,Win
Scissors,Rock,Win
Rock,Scissors,Lose
Paper,Rock,Lose
Paper,Paper,None
Rock,Rock,None
Rock,Rock,None
Scissors,Rock,Win
Rock,Rock,None
Paper,Scissors,Win
Scissors,Rock,Win
Rock,Paper,Win
Paper,Scissors,Win
Scissors,Scissors,None
